"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","check_gradient","cls","data","dataset","desc","dropout_disactive","epochs","expid","hidden_dim","learning_rate","log_file","lr_decay_every","lr_decay_rate","max_grad_norm","num_heads","num_of_vertices","patience","print_every","save","seed","shuffle","strides","weight_decay_rate","window_length","epoch","train_accuracy","train_loss","val_accuracy (Max)","val_loss"
"desc: 1_20131027","crashed","-","","","2024-10-30T17:29:57.000Z","254092","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/1_20131027/","SEED","1_20131027","0.2","500","[""7-1102"",""2-1031""]","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","73","0.9804410000922594","0.05259428538071613","1","0.011398973952357967"
"desc: 1_20131030","failed","-","","","2024-10-31T00:15:32.000Z","233703","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/1_20131030/","SEED","1_20131030","0.2","500","[""8-1102"",""3-1031""]","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","82.33333333333333","0.8355014300212196","0.8566376206775506","1","0.54605708126716"
"desc: 1_20131107","failed","-","","","2024-10-31T03:23:01.000Z","231873","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/1_20131107/","SEED","1_20131107","0.2","500","[""9-1102"",""4-1031""]","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","66","0.5268013654396162","1.190844823916753","0.9502212389380532","1.445964733759562"
"desc: 12_20131127","failed","-","","","2024-10-31T05:17:36.000Z","223054","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/12_20131127/","SEED","12_20131127","0.2","500","[""10-1102"",""5-1031""]","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","52.33333333333333","1","0.000591466436162591","1","0.0006614441323714951"
"desc: 12_20131201","failed","-","","","2024-10-31T06:34:30.000Z","225267","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/12_20131201/","SEED","12_20131201","0.2","500","[""11-1102"",""6-1031""]","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","34","0.9890211274102777","0.013862411957234144","0.9933628318584072","0.017828793575366337"
"desc: 12_20131207","failed","-","","","2024-10-31T07:58:53.000Z","220045","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/12_20131207/","SEED","12_20131207","0.2","500","[""12-1102"",""7-1031""]","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","29","0.9635575237568041","0.004219668024840454","1","0.049340711654319115"
"desc: 15_20130709","failed","-","","","2024-10-31T09:18:49.000Z","245751","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/15_20130709/","SEED","15_20130709","0.2","500","[""19-1102"",""8-1031""]","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","87.66666666666666","0.9640188209244395","0.09512801662397881","1","0.2322920310931901"
"desc: 15_20131016","finished","-","","","2024-10-31T13:24:28.000Z","229309","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/15_20131016/","SEED","15_20131016","0.2","500","[""20-1102"",""9-1031""]","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","46.666666666666664","0.6364978319033121","0.48812059676856734","1","0.8367075804659785"
"desc: 15_20131105","failed","-","","","2024-10-31T14:52:12.000Z","231366","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/15_20131105/","SEED","15_20131105","0.2","500","[""21-1102"",""10-1031""]","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","43.666666666666664","0.8486945290155918","0.785525318487392","1","1.3982591860500784"
"desc: 6_20130712","failed","-","","","2024-10-31T16:47:17.000Z","248322","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/6_20130712/","SEED","6_20130712","0.2","500","[""31-1102"",""11-1031""]","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","56.666666666666664","0.9984315896300396","0.0007517364574596286","1","0.0033592237062597024"
"desc: 6_20131016","failed","-","","","2024-10-31T18:45:40.000Z","242677","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/6_20131016/","SEED","6_20131016","0.2","500","[""32-1102"",""12-1031""]","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","39.666666666666664","0.8501706799520251","0.438160827383399","1","0.2396088431899746"
"desc: 6_20131113","failed","-","","","2024-10-31T20:27:43.000Z","239284","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/6_20131113/","SEED","6_20131113","0.2","500","[""33-1102"",""13-1031""]","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","38.666666666666664","0.9462127502537134","0.03910919519451757","1","0.28363477023473627"
"desc: 7_20131027","failed","-","","","2024-10-31T22:34:04.000Z","238769","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/7_20131027/","SEED","7_20131027","0.2","500","[""34-1102"",""14-1031""]","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","41.33333333333333","0.9271150475136082","0.1891320867774387","0.9977876106194692","0.1863909587264061"
"desc: 10_20131130","crashed","-","","","2024-10-30T17:29:22.000Z","389191","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/10_20131130/","SEED","10_20131130","0.2","500","[""1-1104"",""1-1102"",""1-1031""]","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","[""/data/Anaiis/garage/len50_seed/"",""/data/Anaiis/garage/windowlen_seed/""]","22","true","3","0.0001","50","35.666666666666664","0.8775717317095673","0.20126734530398","1","0.11539458266148964"
"desc: 10_20131211","failed","-","","","2024-11-02T06:10:35.000Z","21049","","16","false","3","/data/Anaiis/Data/SEED/len_50/smooth_False/10_20131211/","SEED","10_20131211","0.2","500","3-1102","128","0.0005","/data/Anaiis/logs/","10","0.8","5","4","62","36","10","/data/Anaiis/garage/windowlen_seed/","22","true","3","0.0001","50","35","0.9022972598948242","0.1587572768330574","0.986725663716814","0.054502123268321157"
