"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","check_gradient","cls","data","dataset","desc","dropout_disactive","epochs","expid","hidden_dim","learning_rate","log_file","lr_decay_every","lr_decay_rate","max_grad_norm","num_heads","num_of_vertices","patience","print_every","save","seed","shuffle","strides","weight_decay_rate","window_length","epoch","train_accuracy","train_loss","val_accuracy (Max)","val_loss"
"playful-capybara-20","finished","-","","","2024-09-04T16:09:09.000Z","2121","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/15_20131105/","SEED","15_20131105","0.2","500","18-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","104","1","0.00008946061279857531","1","0.0626816526055336"
"cool-snowball-36","finished","-","","","2024-09-05T00:03:26.000Z","1746","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/6_20130712/","SEED","6_20130712","0.2","500","34-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","84","0.9977728285077953","0.0004742526507470757","1","0.0029580905102193356"
"glorious-butterfly-44","finished","-","","","2024-09-05T04:17:43.000Z","2893","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/8_20140521/","SEED","8_20140521","0.2","500","42-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","142","0.9966592427616926","0.002397248288616538","0.9911111111111112","0.00029476112104021013"
"usual-silence-40","finished","-","","","2024-09-05T02:10:13.000Z","1530","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/7_20131030/","SEED","7_20131030","0.2","500","38-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","73","0.9988864142538976","0.00019857389270327985","0.9866666666666668","0.02205231413245201"
"revived-hill-38","finished","-","","","2024-09-05T01:10:36.000Z","1605","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/6_20131113/","SEED","6_20131113","0.2","500","36-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","77","1","0.003110364777967334","0.96","0.000514851592015475"
"glorious-hill-19","finished","-","","","2024-09-04T15:05:04.000Z","3833","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/15_20131016/","SEED","15_20131016","0.2","500","17-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","197","1","0.00007956592889968306","0.9777777777777776","0.000045298504119273275"
"grateful-butterfly-21","finished","-","","","2024-09-04T16:44:43.000Z","1547","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/1_20131027/","SEED","1_20131027","0.2","500","19-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","74","0.989977728285078","0.004019835963845253","0.96","0.000032543604902457446"
"fast-snowball-30","finished","-","","","2024-09-04T21:51:35.000Z","974","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/4_20140621/","SEED","4_20140621","0.2","500","28-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","46","0.9955456570155902","0.002538735279813409","0.9466666666666668","0.006374976597726345"
"lilac-plasma-18","finished","-","","","2024-09-04T14:38:38.000Z","1561","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/15_20130709/","SEED","15_20130709","0.2","500","16-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","77","0.9910913140311804","0.00691007636487484","0.9377777777777778","0.0005902693956159055"
"rosy-glade-39","finished","-","","","2024-09-05T01:37:34.000Z","1946","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/7_20131027/","SEED","7_20131027","0.2","500","37-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","94","0.9988864142538976","0.03365308418869972","0.9288888888888888","0.009454830549657345"
"winter-sun-33","finished","-","","","2024-09-04T22:47:46.000Z","1267","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/5_20140411/","SEED","5_20140411","0.2","500","31-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","59","0.9944320712694876","0.006039974745362997","0.9288888888888888","0.15703468024730682"
"ancient-forest-32","finished","-","","","2024-09-04T22:29:56.000Z","1058","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/4_20140705/","SEED","4_20140705","0.2","500","30-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","49","0.965478841870824","0.031232576817274097","0.9155555555555556","0.020706437528133392"
"zesty-water-29","finished","-","","","2024-09-04T21:22:42.000Z","1719","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/3_20140629/","SEED","3_20140629","0.2","500","27-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","82","1","0.008786158636212349","0.9244444444444444","0.006414894014596939"
"rare-durian-45","finished","-","","","2024-09-05T05:06:09.000Z","2257","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/9_20140620/","SEED","9_20140620","0.2","500","43-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","107","0.9910913140311804","0.0009570805705152452","0.92","0.5982242822647095"
"exalted-wildflower-13","finished","-","","","2024-09-04T12:04:29.000Z","2682","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/13_20140603/","SEED","13_20140603","0.2","500","11-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","132","1","0.00018045435717795044","0.9066666666666666","0.026340389624238018"
"proud-planet-43","finished","-","","","2024-09-05T03:29:25.000Z","2885","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/8_20140514/","SEED","8_20140514","0.2","500","41-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","139","0.9476614699331848","0.002833988284692168","0.9111111111111112","0.4100493788719177"
"scarlet-tree-17","finished","-","","","2024-09-04T14:16:32.000Z","1314","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/14_20140627/","SEED","14_20140627","0.2","500","15-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","63","0.987750556792873","0.015715466812253","0.8755555555555555","1.5435233116149902"
"cool-forest-37","finished","-","","","2024-09-05T00:32:45.000Z","2258","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/6_20131016/","SEED","6_20131016","0.2","500","35-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","104","0.9688195991091314","0.0034166413825005293","0.8888888888888888","0.20108336210250857"
"worldly-monkey-22","finished","-","","","2024-09-04T17:10:42.000Z","2607","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/1_20131030/","SEED","1_20131030","0.2","500","20-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","127","0.979955456570156","0.1397385597229004","0.8577777777777778","0.0005906267906539142"
"giddy-river-28","finished","-","","","2024-09-04T20:52:26.000Z","1804","","16","true","3","/data/Anaiis/Data/Data/SEED/len_200/smooth_False/3_20140611/","SEED","3_20140611","0.2","500","26-0904","128","0.0005","/data/Anaiis/logs/","10","0.5","5","4","62","36","10","/data/Anaiis/garage/SEED_noshuf/","22","true","3","0.0001","200","86","0.9766146993318484","0.22753366827964783","0.8533333333333334","0.014230793341994286"
